"PlayerName","Team","POS","ADP","IP","mW","mERA","mWHIP","mK9","mQS","mSVHLD","PTS","aPOS","Dollars"
"Joely Rodriguez","TEX","RP","592.4","63","($0.4)","($0.6)","($0.9)","($0.7)","($0.4)","$0.1","($2.9)","$1.8","($0.4)"
"Stephen Strasburg","WSN","SP","70.0","163","$0.8","($1.6)","($0.6)","($1.4)","$0.8","($0.7)","($2.7)","$1.8","($0.5)"
"Cody Stashak","MIN","RP","600.5","58","($0.4)","($1.1)","($0.3)","($0.6)","($0.4)","$0.0","($2.9)","$1.8","($0.5)"
"Craig Stammen","SDP","RP","600.3","38","($0.6)","($0.3)","($0.3)","($0.6)","($0.4)","($0.7)","($2.9)","$1.8","($0.5)"
"Chris Stratton","PIT","RP","599.1","64","($0.4)","($0.8)","($0.7)","($0.8)","($0.4)","$0.1","($2.9)","$1.8","($0.5)"
"Brett Martin","TEX","RP","999.0","58","($0.5)","($0.5)","($0.7)","($0.8)","($0.4)","($0.1)","($2.9)","$1.8","($0.5)"
"Josh Taylor","BOS","RP","999.0","42","($0.6)","($0.6)","($0.6)","($0.3)","($0.4)","($0.5)","($2.9)","$1.8","($0.5)"
"Gregory Soto","DET","RP","504.5","63","($0.4)","($0.8)","($1.1)","($0.6)","($0.4)","$0.3","($3.0)","$1.8","($0.5)"
"Hunter Harvey","BAL","RP","315.0","63","($0.4)","($1.3)","($0.8)","($0.8)","($0.4)","$0.7","($3.0)","$1.8","($0.5)"
"Mike Mayers","LAA","RP","531.2","66","($0.4)","($1.2)","($0.6)","($0.6)","($0.4)","$0.2","($3.0)","$1.8","($0.5)"
"Stefan Crichton","ARI","RP","305.2","60","($0.4)","($0.8)","($0.8)","($1.0)","($0.4)","$0.4","($3.0)","$1.8","($0.5)"
"Chris Devenski","ARI","RP","599.7","52","($0.5)","($1.0)","($0.5)","($0.5)","($0.4)","($0.1)","($3.0)","$1.8","($0.5)"
"Sixto Sanchez","MIA","SP","133.9","138","$0.5","($0.5)","($0.6)","($2.1)","$0.7","($0.7)","($2.7)","$1.8","($0.5)"
"Ryan Hendrix","CIN","RP","999.0","38","($0.6)","($0.6)","($0.7)","($0.2)","($0.4)","($0.6)","($3.0)","$1.8","($0.5)"
"Daniel Norris","DET","RP","593.7","70","($0.3)","($0.8)","($0.4)","($0.9)","($0.3)","($0.2)","($3.0)","$1.8","($0.6)"
"Chasen Shreve","PIT","RP","999.0","55","($0.5)","($0.8)","($0.8)","($0.3)","($0.4)","($0.1)","($3.0)","$1.8","($0.6)"
"Brad Boxberger","MIL","RP","999.0","38","($0.6)","($0.6)","($0.5)","($0.2)","($0.4)","($0.7)","($3.0)","$1.8","($0.6)"
